"startwith";"contains";"endswith";"find";"replace";"rawmin";"rawmax";"engmin";"engmax";"unit";"format";"description";"alarmoption";"trendoption"
;;"_CurveTemperatureConfig.y[5]";"_CurveTemperatureConfig.y[5]";"_Y5";;;;;"°C";"0.0";"Y-värde 5";;
;;"_CurveTemperatureConfig.y[6]";"_CurveTemperatureConfig.y[6]";"_Y6";;;;;"°C";"0.0";"Y-värde 6";;
;;"_CurveTemperatureConfig.y[7]";"_CurveTemperatureConfig.y[7]";"_Y7";;;;;"°C";"0.0";"Y-värde 7";;
;;"_CurveTemperatureConfig.y[8]";"_CurveTemperatureConfig.y[8]";"_Y8";;;;;"°C";"0.0";"Y-värde 8";;
;;"_CurveTemperatureConfig.y[9]";"_CurveTemperatureConfig.y[9]";"_Y9";;;;;"°C";"0.0";"Y-värde 9";;

;;"_CurveTemperatureConfig.setpointMin";"_CurveTemperatureConfig.setpointMin";"_MIN";;;;;"°C";"0.0";"Minbegränsning";;
;;"_CurveTemperatureConfig.setpointMax";"_CurveTemperatureConfig.setpointMax";"_MAX";;;;;"°C";"0.0";"Maxbegränsning";;


;;"_CurvePressureConfig.x[1]";"_CurvePressureConfig.x[1]";"_X1";;;;;"°C";"0.0";"X-värde 1";;
;;"_CurvePressureConfig.x[2]";"_CurvePressureConfig.x[2]";"_X2";;;;;"°C";"0.0";"X-värde 2";;
;;"_CurvePressureConfig.x[3]";"_CurvePressureConfig.x[3]";"_X3";;;;;"°C";"0.0";"X-värde 3";;
;;"_CurvePressureConfig.x[4]";"_CurvePressureConfig.x[4]";"_X4";;;;;"°C";"0.0";"X-värde 4";;
;;"_CurvePressureConfig.x[5]";"_CurvePressureConfig.x[5]";"_X5";;;;;"°C";"0.0";"X-värde 5";;
;;"_CurvePressureConfig.x[6]";"_CurvePressureConfig.x[6]";"_X6";;;;;"°C";"0.0";"X-värde 6";;
;;"_CurvePressureConfig.x[7]";"_CurvePressureConfig.x[7]";"_X7";;;;;"°C";"0.0";"X-värde 7";;
;;"_CurvePressureConfig.x[8]";"_CurvePressureConfig.x[8]";"_X8";;;;;"°C";"0.0";"X-värde 8";;
;;"_CurvePressureConfig.x[9]";"_CurvePressureConfig.x[9]";"_X9";;;;;"°C";"0.0";"X-värde 9";;

;;"_CurvePressureConfig.y[1]";"_CurvePressureConfig.y[1]";"_Y1";;;;;"pa";"0";"Y-värde 1";;
;;"_CurvePressureConfig.y[2]";"_CurvePressureConfig.y[2]";"_Y2";;;;;"pa";"0";"Y-värde 2";;
;;"_CurvePressureConfig.y[3]";"_CurvePressureConfig.y[3]";"_Y3";;;;;"pa";"0";"Y-värde 3";;
;;"_CurvePressureConfig.y[4]";"_CurvePressureConfig.y[4]";"_Y4";;;;;"pa";"0";"Y-värde 4";;
;;"_CurvePressureConfig.y[5]";"_CurvePressureConfig.y[5]";"_Y5";;;;;"pa";"0";"Y-värde 5";;
;;"_CurvePressureConfig.y[6]";"_CurvePressureConfig.y[6]";"_Y6";;;;;"pa";"0";"Y-värde 6";;
;;"_CurvePressureConfig.y[7]";"_CurvePressureConfig.y[7]";"_Y7";;;;;"°C";"0";"X-värde 7";;
;;"_CurvePressureConfig.y[8]";"_CurvePressureConfig.y[8]";"_Y8";;;;;"°C";"0";"X-värde 8";;
;;"_CurvePressureConfig.y[9]";"_CurvePressureConfig.y[9]";"_Y9";;;;;"°C";"0";"X-värde 9";;

;;"_CurvePressureConfig.setpointMin";"_CurvePressureConfig.setpointMin";"_MIN";;;;;"pa";"0";"Minbegränsning";;
;;"_CurvePressureConfig.setpointMax";"_CurvePressureConfig.setpointMax";"_MAX";;;;;"pa";"0";"Maxbegränsning";;


;;"_CurvePowerConfig.x[1]";"_CurvePowerConfig.x[1]";"_X1";;;;;"°C";"0.0";"X-värde 1";;
;;"_CurvePowerConfig.x[2]";"_CurvePowerConfig.x[2]";"_X2";;;;;"°C";"0.0";"X-värde 2";;
;;"_CurvePowerConfig.x[3]";"_CurvePowerConfig.x[3]";"_X3";;;;;"°C";"0.0";"X-värde 3";;
;;"_CurvePowerConfig.x[4]";"_CurvePowerConfig.x[4]";"_X4";;;;;"°C";"0.0";"X-värde 4";;
;;"_CurvePowerConfig.x[5]";"_CurvePowerConfig.x[5]";"_X5";;;;;"°C";"0.0";"X-värde 5";;
;;"_CurvePowerConfig.x[6]";"_CurvePowerConfig.x[6]";"_X6";;;;;"°C";"0.0";"X-värde 6";;
;;"_CurvePowerConfig.x[7]";"_CurvePowerConfig.x[7]";"_X7";;;;;"°C";"0.0";"X-värde 7";;
;;"_CurvePowerConfig.x[8]";"_CurvePowerConfig.x[8]";"_X8";;;;;"°C";"0.0";"X-värde 8";;
;;"_CurvePowerConfig.x[9]";"_CurvePowerConfig.x[9]";"_X9";;;;;"°C";"0.0";"X-värde 9";;

;;"_CurvePowerConfig.y[1]";"_CurvePowerConfig.y[1]";"_Y1";;;;;"kW";"0";"Y-värde 1";;
;;"_CurvePowerConfig.y[2]";"_CurvePowerConfig.y[2]";"_Y2";;;;;"kW";"0";"Y-värde 2";;
;;"_CurvePowerConfig.y[3]";"_CurvePowerConfig.y[3]";"_Y3";;;;;"kW";"0";"Y-värde 3";;
;;"_CurvePowerConfig.y[4]";"_CurvePowerConfig.y[4]";"_Y4";;;;;"kW";"0";"Y-värde 4";;
;;"_CurvePowerConfig.y[5]";"_CurvePowerConfig.y[5]";"_Y5";;;;;"kW";"0";"Y-värde 5";;
;;"_CurvePowerConfig.y[6]";"_CurvePowerConfig.y[6]";"_Y6";;;;;"kW";"0";"Y-värde 6";;
;;"_CurvePowerConfig.y[7]";"_CurvePowerConfig.y[7]";"_Y7";;;;;"kW";"0";"Y-värde 7";;
;;"_CurvePowerConfig.y[8]";"_CurvePowerConfig.y[8]";"_Y8";;;;;"kW";"0";"Y-värde 8";;
;;"_CurvePowerConfig.y[9]";"_CurvePowerConfig.y[9]";"_Y9";;;;;"kW";"0";"Y-värde 9";;



;;"_TimerDual.output";"_TimerDual.output";"_V";;;;;"";"";"Timer aktiv";;
;;"_TimerDual.remainingTime";"_TimerDual.remainingTime";"_PV";;;;;"";"";"Tid kvar";;

;;"_TimerConfig.DelayU";"_TimerConfig.DelayU";"_SP1";;;;;"h";"";"Frånslagsfördröjning timer";;


;;"_AirFlowConfig.kFactor";"_AirFlowConfig.kFactor";"_SP1";;;;;"k faktor";"0.000";"K-faktor ";;


;;"_AlarmTimer.trigger";"_AlarmTimer.trigger";"_V3";;;;;"";"";"Larmindikering";;
;;"_AlarmTimer.alarmDelayU";"_AlarmTimer.alarmDelayU";"_AD";;;;;"s";;"Larmfördröjning";;

;;"_AlarmTimerHigh.trigger";"_AlarmTimer.trigger";"_V3";;;;;"";"";"Larmindikering";;
;;"_AlarmTimerHigh.alarmDelayU";"_AlarmTimer.alarmDelayU";"_AD";;;;;"s";;"Larmfördröjning";;



;;"_AnalogAirHandlingFan.run";"_AnalogAirHandlingFan.run";"_CMD";;;;;"";"";"Startorder";;
;;"_AnalogAirHandlingFan.runFeedback";"_AnalogAirHandlingFan.runFeedback";"_V";;;;;"";"";"Driftindikering";;
;;"_AnalogAirHandlingFan.manualSwitch";"_AnalogAirHandlingFan.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_AnalogAirHandlingFan.output";"_AnalogAirHandlingFan.output";"_OP";;;;;"%"";"0";"Utsignal";;
;;"_AnalogAirHandlingFan.manualControl";"_AnalogAirHandlingFan.manualControl";"_OPM";;;;;"%";"0";"Manuell utsignal";;
;;"_AnalogAirHandlingFan.manualOperation";"_AnalogAirHandlingFan.manualOperation";"_AL5";;;;;"";"";"Handställningslarm";p:C;
;;"_AnalogObject.operation";"_AnalogObject.operation";"_OP";;;;;"%";"0";"Utsignal";;

;;"_AnalogCirculationPump.run";"_AnalogCirculationPump.run";"_CMD";;;;;"";"";"Startorder";;
;;"_AnalogCirculationPump.runFeedback";"_AnalogCirculationPump.runFeedback";"_V";;;;;"";"";"Driftindikering";;
;;"_AnalogCirculationPump.manualSwitch";"_AnalogCirculationPump.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_AnalogCirculationPump.output";"_AnalogCirculationPump.output";"_OP";;;;;"%";"0";"Utsignal";;
;;"_AnalogCirculationPump.manualControl";"_AnalogCirculationPump.manualControl";"_OPM";;;;;"%";"0";"Manuell utsignal";;
;;"_AnalogCirculationPump.test";"_AnalogCirculationPump.test";"_V8";;;;;"";"";"Pumpmotion aktiv";;
;;"_AnalogCirculationPump.manualOperation";"_AnalogCirculationPump.manualOperation";"_AL5";;;;;"";"";"Handställningslarm";p:C;

;;"_DigitalCirculationPump.run";"_DigitalCirculationPump.run";"_CMD";;;;;"";"";"Startorder";;
;;"_DigitalCirculationPump.runFeedback";"_DigitalCirculationPump.runFeedback";"_V";;;;;"";"";"Driftindikering";;
;;"_DigitalCirculationPump.manualSwitch";"_DigitalCirculationPump.manualSwitch";"_AUT";;;;;"";"";"0 = OFF, 1 = ON, 2 = AUT";;
;;"_DigitalCirculationPump.manualOperation";"_DigitalCirculationPump.manualOperation";"_AL5";;;;;"";"";"Handställningslarm";p:C;
;;"_DigitalCirculationPump.test";"_DigitalCirculationPump.test";"_V8";;;;;"";"";"Pumpmotion aktiv";;

;;"_DigitalHeatPump.run";"_DigitalHeatPump.run";"_CMD";;;;;"";"";"Startorder";;
